PC1,PC2,Predicted_State,Actual_State
-0.5086941005171388,-0.0888939009855956,1,1
-0.079225503507659,-0.4381685294440662,1,1
-0.3202371446223181,-0.7050815039090351,1,1
-0.3593236213725328,-0.4846588618672292,1,1
-0.1185182608609645,-0.6610696530419916,1,1
-0.0858656599792718,-0.0503711552621632,1,2
-0.3660039832567057,-0.3002774735459985,1,1
-0.2145719693238343,-0.6268396345160666,1,1
-0.1297050592067502,-1.1500431212733413,0,0
-0.021950775158437,0.0535758481706428,1,2
-0.2396447916923482,-0.2645454531004728,1,1
-0.3737741839937431,-0.8145593441549911,0,1
-0.0364816969878011,-0.72309771807214,0,1
-0.060622907294949,-0.7467115919478312,0,1
-0.0487040199885321,0.5500818191397043,2,2
-0.2593720811722584,0.2955200204516724,1,2
-0.0724282640363102,-0.7779416633015119,0,1
-0.2049239192917215,0.1488582514498828,1,2
-0.6797567964370737,-1.1462627875981364,0,0
-0.2168529008607448,-0.8387765074286782,0,1
-0.5667376620578931,-0.7091724575278803,1,1
-0.1020890641365644,0.4078966542666637,2,2
-0.0319406906454951,-1.0635537776411412,0,0
-0.4508813157202094,-2.177202332768559,0,0
-0.3734780416263958,-0.3344070171256776,1,1
-0.3693083593927943,-0.0267269057302612,1,2
-0.0964466013096067,-0.7056700642065855,0,1
-0.3008118619877609,-1.0964985938507668,0,0
-0.0248058484917114,0.3013572430555822,1,2
-0.1519352301342789,-1.1381715546446538,0,0
-0.0287865579202534,0.613320324944885,2,2
-0.2872413415391712,-0.5169694735684954,1,1
-0.3314138294899389,0.3167583394794533,1,2
-0.2046523379434748,-1.0509697772206936,0,0
-0.3100482108603904,-0.6744144872562635,1,1
-0.1978533663357783,0.2176389336746157,1,2
-0.41924170298516,-1.1303005456086377,0,0
-0.3518329643222995,-0.2796049905335369,1,1
-0.3127363269430634,-1.2239911793325362,0,0
0.0526489248846546,-1.2619756684980243,0,0
-0.1879614592087835,-2.5816427380708054,0,0
-0.5414953975358369,-0.6005039545339723,1,1
-0.2176126164725119,-0.285261669699851,1,1
-0.1987985088103644,-0.7602653011838607,0,1
0.1421143532883674,-1.1214999223580937,0,0
-0.1918880605753857,0.2251265034492799,1,2
-0.1913604251898994,-0.0214741452130729,1,2
-0.2518822157198029,-1.7737587717056529,0,0
-0.45099981815997,-0.4152171713225713,1,1
-0.1854380468573986,0.6444350954193397,2,2
-0.1156962317075436,0.459512946403974,2,2
0.0689802113079332,-1.0542022517881275,0,0
-0.3134019950051826,-1.1993738991262273,0,0
0.0157003809391491,-0.0509707236976076,1,2
-0.4321417380515184,0.6281877323692718,2,2
-0.1242851865375733,-1.1903938544469232,0,0
-0.4299460586817681,-1.4655030308904131,0,0
-0.1404562669215143,0.1591842922418077,1,2
-0.2411599120507876,-0.4527583743730408,1,1
-0.4332281081853682,-0.2249488710132972,1,1
-0.1948506568411785,-0.2611227968790783,1,1
-0.3432105373108738,-2.2728580554633875,0,0
-0.3728962238194971,0.2659725266671138,1,2
0.001163814875251,-0.3147125814432988,1,1
-0.3466677110947334,-0.1234132109547747,1,1
-0.1346779959452643,0.2301733783970705,1,2
-0.157378021387477,-0.0332347252557495,1,2
-0.5042250435834029,-0.6166084972329637,1,1
0.0133234109322797,-2.377707965535752,0,0
-0.4531249769135864,0.1025816894723073,1,2
-0.1538366065688539,-0.4406450503215521,1,1
-0.1743037258758747,0.4844557206647603,2,2
