PC1,PC2,Cluster,State
0.04864964753961123,0.8000364464021661,"(np.int64(1), np.int64(0))",Dangerous
0.03612705339825853,0.6202626167094141,"(np.int64(1), np.int64(1))",Dangerous
0.040553620089580696,0.7920133831571171,"(np.int64(1), np.int64(0))",Dangerous
0.031313287148347774,0.6104129104591778,"(np.int64(1), np.int64(1))",Dangerous
0.027816728107481488,0.5716327059034105,"(np.int64(1), np.int64(1))",Dangerous
0.06935393294534614,0.5635252963335978,"(np.int64(1), np.int64(1))",Dangerous
0.05863287709535797,0.5360946226274209,"(np.int64(1), np.int64(1))",Dangerous
0.023402158416718458,0.5943837431488752,"(np.int64(1), np.int64(1))",Dangerous
0.06560389817968394,0.5022281630958327,"(np.int64(0), np.int64(0))",Normal
0.06981975931738196,0.8655957060020678,"(np.int64(1), np.int64(0))",Dangerous
0.05854742987061537,0.6401207587897654,"(np.int64(1), np.int64(1))",Dangerous
0.012030139427776178,0.46496792989005337,"(np.int64(0), np.int64(0))",Normal
0.04017467892318092,0.7206201215665382,"(np.int64(1), np.int64(0))",Dangerous
0.06704621412355734,0.27389531993789673,"(np.int64(0), np.int64(1))",Warning
0.030848644826925883,0.43716070699535503,"(np.int64(0), np.int64(0))",Normal
0.03575036005517776,0.7788044865814805,"(np.int64(1), np.int64(0))",Dangerous
0.05612368784953942,0.7318496619958181,"(np.int64(1), np.int64(0))",Dangerous
0.03202723163266223,0.4741063212930733,"(np.int64(0), np.int64(0))",Normal
0.04539779448422539,0.5612962791662794,"(np.int64(1), np.int64(1))",Dangerous
0.001985309387123241,0.40194312654333264,"(np.int64(0), np.int64(1))",Warning
0.02262949604277703,0.8020530372732976,"(np.int64(1), np.int64(0))",Dangerous
0.04355614710546411,0.6198037581945455,"(np.int64(1), np.int64(1))",Dangerous
0.03247375309230156,0.9445627099042888,"(np.int64(1), np.int64(0))",Dangerous
0.059229862612138015,0.47951302921044786,"(np.int64(0), np.int64(0))",Normal
0.025535324843586435,0.6266981625013669,"(np.int64(1), np.int64(1))",Dangerous
0.035186650354211424,0.675451135336901,"(np.int64(1), np.int64(0))",Dangerous
0.04369548383291373,0.49500592521145964,"(np.int64(0), np.int64(0))",Normal
0.06681977096044275,0.41516549383213064,"(np.int64(0), np.int64(1))",Warning
0.01928437637762434,0.3973711683126993,"(np.int64(0), np.int64(1))",Warning
0.05853448859672695,0.7890639420276978,"(np.int64(1), np.int64(0))",Dangerous
0.04433446080966359,0.6819290503416575,"(np.int64(1), np.int64(0))",Dangerous
0.02200778740245256,0.3230639494702784,"(np.int64(0), np.int64(1))",Warning
0.04373263107790391,0.7001829147222336,"(np.int64(1), np.int64(0))",Dangerous
0.04752524656506553,0.42890846119464665,"(np.int64(0), np.int64(0))",Normal
0.027731360249474896,0.534790763318546,"(np.int64(1), np.int64(1))",Dangerous
0.04872382360780189,0.5516811598602971,"(np.int64(1), np.int64(1))",Dangerous
0.0409174125096087,0.6624117147744331,"(np.int64(1), np.int64(0))",Dangerous
0.0361723983843792,0.45330892543892237,"(np.int64(0), np.int64(0))",Normal
0.05035233810930309,0.5858075355585004,"(np.int64(1), np.int64(1))",Dangerous
0.07564852615271778,0.24266485582797204,"(np.int64(0), np.int64(1))",Warning
0.01787221796977817,0.55298973104307,"(np.int64(1), np.int64(1))",Dangerous
0.07571143154120633,0.4806444899004896,"(np.int64(0), np.int64(0))",Normal
0.017722943727563376,0.8862160508564206,"(np.int64(1), np.int64(0))",Dangerous
0.0487163831503352,0.7391831760039687,"(np.int64(1), np.int64(0))",Dangerous
0.05107851313143035,0.48279674669437167,"(np.int64(0), np.int64(0))",Normal
0.04658791443117634,0.6216670763209,"(np.int64(1), np.int64(1))",Dangerous
0.045627213177817094,0.7803076947568692,"(np.int64(1), np.int64(0))",Dangerous
0.049631217924427096,0.6787218745172605,"(np.int64(1), np.int64(0))",Dangerous
0.040927498044273855,0.0,"(np.int64(0), np.int64(1))",Warning
0.03479758560610041,0.7084078135313475,"(np.int64(1), np.int64(0))",Dangerous
0.05106162332239233,0.5062506580987938,"(np.int64(0), np.int64(0))",Normal
0.04535679617066445,0.4205848290450195,"(np.int64(0), np.int64(1))",Warning
0.03740395270557212,0.4560856673854313,"(np.int64(0), np.int64(0))",Normal
0.05798131312545685,0.6465354590313699,"(np.int64(1), np.int64(1))",Dangerous
0.0578407102449274,0.4924990118045147,"(np.int64(0), np.int64(0))",Normal
0.06062563809686142,0.4051278100093527,"(np.int64(0), np.int64(1))",Warning
0.043780165887125536,0.6551075044230275,"(np.int64(1), np.int64(1))",Dangerous
0.03817110502640894,0.6796039865184134,"(np.int64(1), np.int64(0))",Dangerous
0.02919998414551135,0.34603881582479357,"(np.int64(0), np.int64(1))",Warning
0.053256458791931124,0.6092331852418744,"(np.int64(1), np.int64(1))",Dangerous
0.056359079703393884,0.5371151481460694,"(np.int64(1), np.int64(1))",Dangerous
0.053996150690991535,0.6261603108491187,"(np.int64(1), np.int64(1))",Dangerous
0.06429910055142586,0.7867363867093253,"(np.int64(1), np.int64(0))",Dangerous
0.06661822685904198,0.6210362038490738,"(np.int64(1), np.int64(1))",Dangerous
0.033802587847386004,0.6064445511142205,"(np.int64(1), np.int64(1))",Dangerous
0.05305015873798982,0.6368424639814338,"(np.int64(1), np.int64(1))",Dangerous
0.045595760211424155,0.5102398532894512,"(np.int64(0), np.int64(0))",Normal
0.039702874045565585,0.4356944331571059,"(np.int64(0), np.int64(0))",Normal
0.06992140863691053,0.5209305303758921,"(np.int64(0), np.int64(0))",Normal
0.05493474614339163,0.6381574135061935,"(np.int64(1), np.int64(1))",Dangerous
0.0593131270687973,0.38722527876774,"(np.int64(0), np.int64(1))",Warning
0.0679862061210009,0.523193670215173,"(np.int64(0), np.int64(0))",Normal
0.04812980099462918,0.762341949419413,"(np.int64(1), np.int64(0))",Dangerous
0.06060230754494295,0.6813130782855529,"(np.int64(1), np.int64(0))",Dangerous
0.036777509165820954,0.4902585593362101,"(np.int64(0), np.int64(0))",Normal
0.04574740455965851,0.7604574763458531,"(np.int64(1), np.int64(0))",Dangerous
0.034420812204565915,0.8458685316675143,"(np.int64(1), np.int64(0))",Dangerous
0.04790433685462275,0.5802949386020262,"(np.int64(1), np.int64(1))",Dangerous
0.05759274718772136,0.402832244499896,"(np.int64(0), np.int64(1))",Warning
0.03539919917958748,0.399878571069782,"(np.int64(0), np.int64(1))",Warning
0.08482492180461682,0.5375698231549917,"(np.int64(1), np.int64(1))",Dangerous
0.027971757229349567,0.6809736948081079,"(np.int64(1), np.int64(0))",Dangerous
0.031561454203513174,0.8453045160373507,"(np.int64(1), np.int64(0))",Dangerous
0.05643363188900828,0.6726832435186538,"(np.int64(1), np.int64(0))",Dangerous
0.05439893264055258,0.5155817721354501,"(np.int64(0), np.int64(0))",Normal
0.05973761394087463,0.5818799676409224,"(np.int64(1), np.int64(1))",Dangerous
0.05729094617243792,0.5891440199013042,"(np.int64(1), np.int64(1))",Dangerous
0.03976638323683128,0.49101555000690694,"(np.int64(0), np.int64(0))",Normal
0.029589472970899824,0.25197733369928554,"(np.int64(0), np.int64(1))",Warning
0.03562715640077081,0.7672891341718744,"(np.int64(1), np.int64(0))",Dangerous
0.029572504476583196,0.45768680210790014,"(np.int64(0), np.int64(0))",Normal
0.06296538396384754,0.7041747983112868,"(np.int64(1), np.int64(0))",Dangerous
0.04645455957324961,0.4536175910909229,"(np.int64(0), np.int64(0))",Normal
0.0360641650128912,0.48279854454776694,"(np.int64(0), np.int64(0))",Normal
0.03993883188013658,0.5830695694981207,"(np.int64(1), np.int64(1))",Dangerous
0.05051870757603059,0.6657493043305579,"(np.int64(1), np.int64(0))",Dangerous
0.030308051269326584,0.7462156341582236,"(np.int64(1), np.int64(0))",Dangerous
0.034998889876131825,0.6253950564190828,"(np.int64(1), np.int64(1))",Dangerous
0.05037285457929483,0.5373941639528679,"(np.int64(1), np.int64(1))",Dangerous
0.050798520033464266,0.3998666439326346,"(np.int64(0), np.int64(1))",Warning
0.031105704523120108,0.5655341913390788,"(np.int64(1), np.int64(1))",Dangerous
